           sum      HER2      ELSE
0          NaN  0.000000       NaN
1     1.923248  0.946854  0.976394
2     1.925645  0.945096  0.980549
3     1.557347  0.567338  0.990009
4     1.937158  0.959488  0.977670
5     1.510864  0.553058  0.957805
6     1.324621  0.337820  0.986800
7     1.902281  0.918281  0.984000
8     1.960321  0.980909  0.979412
9     1.936848  0.949212  0.987636
10    1.588800  0.623855  0.964945
11    1.724044  0.739008  0.985036
12    1.682283  0.710334  0.971949
13    1.604502  0.612028  0.992475
14    1.865142  0.883389  0.981753
15    1.919357  0.928821  0.990536
16    1.955978  0.967612  0.988366
17    1.822883  0.863500  0.959383
18    1.723734  0.739244  0.984490
19    1.873663  0.889042  0.984621
20    1.870696  0.897824  0.972872
21    1.945521  0.960425  0.985096
22    1.832078  0.842921  0.989157
23    1.601942  0.613934  0.988008
24    1.909855  0.919219  0.990636
25    1.720375  0.741081  0.979295
26    1.826727  0.850461  0.976266
27    1.503637  0.526880  0.976758
28    1.848379  0.890005  0.958374
29    1.964406  0.980201  0.984205
30    1.927881  0.949076  0.978805
31    1.862800  0.891737  0.971063
32    1.957302  0.963640  0.993662
33    1.980522  0.992568  0.987954
34    1.886598  0.899561  0.987037
35    1.579826  0.611889  0.967937
36    1.929315  0.954988  0.974326
37    1.899129  0.911451  0.987679
38    1.950343  0.963100  0.987243
39    1.935851  0.969301  0.966550
40    1.922800  0.932489  0.990311
41    1.952933  0.974264  0.978670
42    1.853057  0.874326  0.978731
43    1.883533  0.899671  0.983862
44    1.983629  0.994173  0.989456
45    1.800599  0.839724  0.960875
46    1.952961  0.975726  0.977235
47    1.787568  0.810400  0.977169
48    1.471167  0.478751  0.992416
49    1.919395  0.930978  0.988417
50    1.344118  0.375611  0.968508
51    1.982044  0.991105  0.990939
52    1.897114  0.914460  0.982654
53    1.925882  0.942905  0.982977
54    1.248570  0.284296  0.964274
55    1.894870  0.917274  0.977596
56    1.810197  0.836319  0.973878
57    1.857315  0.869928  0.987387
58    1.134465  0.166936  0.967528
59    1.789074  0.822017  0.967057
60    1.977847  0.983074  0.994773
61    1.953861  0.971499  0.982363
62    1.869025  0.883913  0.985113
63    1.634026  0.662061  0.971964
64    1.958415  0.979959  0.978456
65    1.988276  0.996169  0.992107
66    1.843593  0.860736  0.982858
67    1.865951  0.885659  0.980292
68    1.893815  0.912334  0.981481
69    1.933312  0.940547  0.992765
70    1.950793  0.973623  0.977169
71    1.867047  0.879116  0.987931
72    1.803320  0.815399  0.987921
73    1.930304  0.938021  0.992283
74    1.910214  0.941161  0.969053
75    1.821821  0.844927  0.976894
76    1.844632  0.880748  0.963884
77    1.920491  0.939656  0.980835
78    1.469414  0.486369  0.983045
79    1.955449  0.976381  0.979068
80    1.959956  0.979149  0.980807
81    1.946903  0.962284  0.984619
82    1.964177  0.974463  0.989715
83    1.717721  0.754835  0.962886
84    1.384630  0.399914  0.984716
85    1.873904  0.888523  0.985381
86    1.894943  0.919451  0.975492
87    1.893454  0.900593  0.992861
88    1.508965  0.515961  0.993005
89    1.966631  0.981623  0.985008
90    1.925541  0.954086  0.971455
91    1.844898  0.864517  0.980380
92    1.923895  0.952098  0.971797
93    1.980781  0.988259  0.992521
94    1.967497  0.990330  0.977168
95    1.714669  0.742855  0.971814
96    1.146204  0.160557  0.985647
97    1.946107  0.967257  0.978850
98    1.961139  0.987364  0.973775
99    1.735970  0.750702  0.985268
100   1.372863  0.413568  0.959295
101   1.858921  0.899006  0.959915
102   1.980560  0.988608  0.991952
103   1.406788  0.429293  0.977495
104   1.862691  0.883427  0.979264
105   1.833626  0.872604  0.961022
106   1.056719  0.084084  0.972635
107   1.615017  0.631037  0.983981
108   1.935914  0.962814  0.973101
109   1.772893  0.805599  0.967294
110   1.849614  0.869641  0.979973
111   1.610650  0.640653  0.969997
112   1.883101  0.906980  0.976121
113   1.660988  0.693565  0.967423
114   1.788245  0.806062  0.982183
115   1.830819  0.859999  0.970820
116   1.368438  0.398214  0.970224
117   1.108451  0.131369  0.977082
118   1.898733  0.932137  0.966596
119   1.939463  0.946998  0.992465
120   1.922708  0.944915  0.977793
121   1.090070  0.118251  0.971819
122   1.914762  0.935918  0.978844
123   1.210295  0.238681  0.971614
124   1.110427  0.139163  0.971264
125   1.787028  0.795520  0.991508
126   1.920617  0.945219  0.975398
127   1.592535  0.604899  0.987636
128   1.978244  0.991958  0.986287
129   1.971734  0.985816  0.985918
130   1.605431  0.632774  0.972657
131   1.523519  0.556449  0.967070
132   1.415201  0.457491  0.957710
133   1.948791  0.972244  0.976547
134   1.949148  0.962209  0.986939
135   1.952847  0.975480  0.977367
136   1.908516  0.917200  0.991316
137   1.714963  0.729273  0.985690
138   1.811275  0.836412  0.974863
139   1.855742  0.865009  0.990734
140   1.991348  0.998161  0.993188
141   1.799847  0.821164  0.978683
142   1.845412  0.857579  0.987833
143   1.746936  0.754398  0.992538
144   1.954534  0.960244  0.994290
145   1.710874  0.729811  0.981063
146   1.754355  0.781970  0.972385
147   1.956026  0.969791  0.986235
148   1.916834  0.952470  0.964364
149   1.968781  0.987230  0.981551
150   1.920710  0.942431  0.978279
151   1.906351  0.934494  0.971857
152   1.956115  0.975578  0.980536
153   1.727562  0.754858  0.972704
154   1.648890  0.674309  0.974581
155   1.978212  0.988384  0.989828
156   1.776690  0.790784  0.985906
157   1.980058  0.990522  0.989536
158   1.711338  0.738125  0.973213
159   1.950434  0.962485  0.987949
160   1.961481  0.974832  0.986649
161   1.959325  0.981285  0.978040
162   1.972984  0.982995  0.989989
163   1.810022  0.822286  0.987736
164   1.974215  0.984707  0.989508
165   1.518743  0.545265  0.973478
166   1.933306  0.948345  0.984961
167   1.867517  0.895948  0.971569
168   1.565614  0.594728  0.970887
169   1.974023  0.987047  0.986975
170   1.674006  0.694104  0.979902
171   1.950959  0.978595  0.972364
172   1.805256  0.825072  0.980184
173   1.859941  0.872966  0.986975
174   1.947308  0.952537  0.994771
175   1.913297  0.925421  0.987876
176   1.809820  0.829977  0.979844
177   1.962886  0.973413  0.989473
178   1.917071  0.930126  0.986945
179   1.588584  0.610696  0.977888
180   1.676182  0.713010  0.963172
181   1.968605  0.992401  0.976205
182   1.846557  0.873527  0.973030
183   1.966968  0.988106  0.978862
184   1.811253  0.824576  0.986676
185   1.891761  0.912191  0.979570
186   1.815539  0.845175  0.970364
187   1.970291  0.988108  0.982183
188   1.862421  0.886833  0.975588
189   1.870060  0.896730  0.973330
190   1.866033  0.897641  0.968393
191   1.990536  0.995984  0.994552
192   1.890485  0.904793  0.985692
193   1.348204  0.381356  0.966849
194   1.920628  0.947583  0.973045
195   1.899301  0.925778  0.973523
196   1.969825  0.980570  0.989255
197   1.903501  0.926667  0.976834
198   1.670039  0.689366  0.980674
199   1.967069  0.981845  0.985224
200   1.761197  0.779447  0.981750
201   1.205773  0.232025  0.973748
202   1.878179  0.897414  0.980765
203   1.978640  0.989456  0.989184
204   1.828911  0.869404  0.959507
205   1.890251  0.912733  0.977518
206   1.813853  0.837841  0.976012
207   1.929655  0.953339  0.976316
208   1.960827  0.980502  0.980325
209   1.839204  0.855703  0.983501
210   1.535366  0.544043  0.991323
211   1.796456  0.808577  0.987879
212   1.937155  0.974299  0.962856
213   1.923967  0.941605  0.982363
214   1.800424  0.822040  0.978384
215   1.730734  0.752544  0.978190
216   1.879064  0.888428  0.990636
217   1.937086  0.968291  0.968795
218   1.916250  0.924239  0.992011
219   1.973986  0.993366  0.980620
220   1.792386  0.810848  0.981539
221   1.916328  0.936466  0.979862
222   1.792766  0.833062  0.959704
223   1.626496  0.640277  0.986219
224   1.531327  0.547067  0.984261
225   1.836497  0.858075  0.978423
226   1.378995  0.405737  0.973259
227   1.936239  0.964111  0.972128
228   1.975536  0.990293  0.985243
229   1.944474  0.965190  0.979284
230   1.922542  0.960551  0.961991
231   1.888539  0.911060  0.977480
232   1.685049  0.718163  0.966887
233   1.912121  0.945111  0.967010
234   1.565118  0.589410  0.975708
235   1.684188  0.715676  0.968512
236   1.929127  0.946803  0.982323
237   1.898560  0.929797  0.968762
238   1.705474  0.729797  0.975677
239   1.851898  0.896704  0.955194
240   1.887529  0.898711  0.988818
241   1.963577  0.985064  0.978513
242   1.936763  0.946216  0.990546
243   1.700084  0.722154  0.977930
244   1.901514  0.917652  0.983862
245   1.931641  0.949858  0.981783
246   1.980093  0.988348  0.991744
247   1.949382  0.962320  0.987063
248   1.969750  0.983386  0.986365
249   1.795422  0.826595  0.968827
250   1.605657  0.627051  0.978605
251   1.238846  0.277551  0.961294
252   1.385849  0.403793  0.982056
253   1.567054  0.593500  0.973553
254   1.694650  0.712333  0.982317
255   1.911425  0.923610  0.987815
256   1.914248  0.951115  0.963133
257   1.955735  0.976828  0.978908
258   1.933110  0.948788  0.984322
259   1.972821  0.978091  0.994730
260   1.886169  0.922779  0.963389
261   1.908414  0.925981  0.982434
262   1.923800  0.941373  0.982426
263   1.894511  0.917948  0.976563
264   1.875708  0.907070  0.968638
265   1.839651  0.872669  0.966982
266   1.444016  0.469399  0.974617
267   1.917169  0.933197  0.983972
268   1.917530  0.936737  0.980793
269   1.373531  0.394304  0.979228
270   1.864524  0.876438  0.988087
271   1.957906  0.976564  0.981343
272   1.907581  0.926915  0.980666
273   1.946398  0.959116  0.987282
274   1.931553  0.943792  0.987761
275   1.644172  0.671268  0.972904
276   1.953881  0.959275  0.994606
277   1.930358  0.937789  0.992569
278   1.680911  0.695927  0.984984
279   1.921105  0.952798  0.968307
280   1.930334  0.953528  0.976806
281   1.932001  0.939957  0.992045
282   1.961765  0.982812  0.978953
283   1.896066  0.904004  0.992061
284   1.389969  0.399692  0.990277
285   1.941727  0.959799  0.981928
286   1.794210  0.811292  0.982918
287   1.915707  0.938031  0.977676
288   1.136897  0.166006  0.970891
289   1.614211  0.631528  0.982683
290   1.875909  0.891055  0.984854
291   1.970259  0.992353  0.977906
292   1.709456  0.736623  0.972833
293   1.951468  0.967262  0.984206
294   1.881332  0.898403  0.982929
295   1.943968  0.960644  0.983324
296   1.916179  0.930216  0.985962
297   1.650656  0.678839  0.971817
298   1.691932  0.716167  0.975765
299   1.722037  0.755919  0.966118
300   1.734208  0.755042  0.979166
301   1.923704  0.936927  0.986778
302   1.864020  0.888903  0.975118
303   1.963665  0.971832  0.991833
304   1.885838  0.906051  0.979787
305   1.978225  0.996252  0.981972
306   1.983406  0.990244  0.993162
307   1.855109  0.877425  0.977684
308   1.921601  0.950816  0.970785
309   1.960186  0.970260  0.989926
310   1.887336  0.905540  0.981796
311   1.956128  0.969420  0.986708
312   1.980134  0.988885  0.991249
313   1.969346  0.979875  0.989471
314   1.828325  0.836993  0.991332
315   1.971363  0.981230  0.990133
316   1.917690  0.933259  0.984431
317   1.171960  0.188570  0.983390
318   1.945272  0.959521  0.985750
319   1.886691  0.909462  0.977230
320   1.898387  0.929240  0.969146
321   1.441403  0.469369  0.972034
322   1.907994  0.927082  0.980911
323   1.954262  0.969406  0.984857
324   1.976147  0.989712  0.986435
325   1.938975  0.956095  0.982879
326   1.828074  0.842602  0.985472
327   1.439999  0.454808  0.985190
328   1.920248  0.944544  0.975704
329   1.918887  0.945983  0.972904
330   1.928300  0.968518  0.959782
331   1.958809  0.974764  0.984044
332   1.968152  0.978968  0.989184
333   1.950218  0.963217  0.987000
334   1.968367  0.990650  0.977717
335   1.843094  0.869277  0.973817
336   1.939782  0.970289  0.969493
337   1.954469  0.978344  0.976124
338   1.919935  0.953509  0.966427
339   1.619015  0.649405  0.969610
340   1.831314  0.864284  0.967030
341   1.863942  0.884704  0.979239
342   1.954381  0.968609  0.985772
343   1.895950  0.907823  0.988127
344   1.795522  0.813382  0.982140
345   1.843458  0.849113  0.994345
346   1.942775  0.964513  0.978263
347   1.960272  0.984854  0.975419
348   1.972039  0.993994  0.978045
349   1.956041  0.970050  0.985991
350   1.955467  0.973858  0.981609
351   1.972652  0.984643  0.988009
352   1.482289  0.504776  0.977513
353   1.547393  0.577461  0.969931
354   1.828973  0.848103  0.980870
355   1.981223  0.991561  0.989663
356   1.584543  0.595688  0.988854
357   1.782042  0.804969  0.977073
358   1.694376  0.712147  0.982229
359   1.835201  0.846881  0.988320
360   1.955711  0.976590  0.979120
361   1.978316  0.985865  0.992451
362   1.533948  0.562106  0.971842
363   1.970577  0.996531  0.974047
364   1.652784  0.686243  0.966541
365   1.685641  0.705188  0.980453
366   1.950348  0.973193  0.977155
367   1.457714  0.468295  0.989419
368   1.777021  0.792638  0.984384
369   1.932128  0.941042  0.991085
370   1.809876  0.842136  0.967740
371   1.885619  0.913177  0.972442
372   1.900874  0.911164  0.989710
373   1.951830  0.969368  0.982462
374   1.890177  0.910432  0.979745
375   1.691694  0.707357  0.984337
376   1.738734  0.752154  0.986580
377   1.938044  0.969666  0.968377
378   1.928626  0.961295  0.967331
379   1.878050  0.903151  0.974899
380   1.976265  0.985695  0.990569
381   1.853040  0.891272  0.961769
382   1.728587  0.752186  0.976401
383   1.797890  0.821442  0.976448
384   1.956948  0.974265  0.982683
385   1.067898  0.117524  0.950374
386   1.915925  0.948376  0.967549
387   1.932859  0.947304  0.985555
388   1.252529  0.275607  0.976922
389   1.774693  0.783853  0.990840
390   1.915794  0.941279  0.974515
391   1.118326  0.141273  0.977053
392   1.856087  0.874304  0.981783
393   1.915140  0.935041  0.980099
394   1.970348  0.983574  0.986773
395   1.429582  0.443909  0.985674
396   1.834320  0.859372  0.974948
397   1.786099  0.795234  0.990865
398   1.968155  0.987010  0.981145
399   1.888573  0.901622  0.986951
400   1.979228  0.995925  0.983304
401   1.826325  0.841110  0.985215
402   1.929185  0.948834  0.980351
403   1.943192  0.968491  0.974700
404   1.952876  0.968275  0.984601
405   1.602573  0.624610  0.977963
406   1.660089  0.681508  0.978581
407   1.824211  0.869072  0.955139
408   1.606497  0.635766  0.970731
409   1.442464  0.457166  0.985298
410   1.858662  0.884844  0.973819
411   1.928931  0.946953  0.981977
412   1.830681  0.841085  0.989596
413   1.769059  0.792129  0.976930
414   1.947812  0.964599  0.983213
415   1.935385  0.959134  0.976251
416   1.622545  0.652010  0.970535
417   1.328362  0.358279  0.970083
418   1.960820  0.974540  0.986280
419   1.950514  0.967414  0.983099
420   1.974987  0.985722  0.989264
421   1.985432  0.995061  0.990371
422   1.834924  0.863259  0.971665
423   1.426294  0.439850  0.986444
424   1.917286  0.922756  0.994530
425   1.442731  0.465746  0.976985
426   1.858402  0.873187  0.985215
427   1.933202  0.952677  0.980524
428   1.765863  0.776168  0.989695
429   1.603107  0.621827  0.981281
430   1.946105  0.966454  0.979651
431   1.954044  0.975977  0.978067
432   1.515967  0.539157  0.976809
433   1.817868  0.848851  0.969017
434   1.671312  0.689204  0.982108
435   1.959912  0.981442  0.978470
436   1.639989  0.656016  0.983973
437   1.746226  0.756251  0.989975
438   1.941090  0.960667  0.980423
439   1.543503  0.550391  0.993112
440   1.870941  0.890912  0.980029
441   1.840470  0.864982  0.975488
442   1.840986  0.853230  0.987756
443   1.772629  0.786888  0.985741
444   1.886184  0.912206  0.973978
445   1.915544  0.935433  0.980112
446   1.823452  0.828909  0.994544
447   1.836272  0.850293  0.985979
448   1.662863  0.686136  0.976727
449   1.969514  0.985593  0.983921
450   1.313866  0.344916  0.968951
451   1.836189  0.861655  0.974534
452   1.911200  0.941157  0.970043
453   1.972573  0.985466  0.987107
454   1.799142  0.815273  0.983869
455   1.779483  0.820261  0.959222
456   1.953174  0.959993  0.993181
457   1.937989  0.957142  0.980846
458   1.649167  0.684568  0.964599
459   1.957327  0.973683  0.983644
460   1.978257  0.986859  0.991398
461   1.939869  0.963326  0.976543
462   1.890738  0.900638  0.990100
463   1.976087  0.996054  0.980033
464   1.864438  0.896846  0.967592
465   1.276108  0.284531  0.991577
466   1.928587  0.965163  0.963425
467   1.747666  0.779651  0.968015
468   1.979322  0.993065  0.986256
469   1.864501  0.884557  0.979944
470   1.736765  0.765931  0.970834
471   1.791554  0.821082  0.970472
472   1.953764  0.976428  0.977336
473   1.565961  0.600485  0.965476
474   1.894454  0.939632  0.954822
475   1.227461  0.247522  0.979939
476   1.771585  0.779691  0.991894
477   1.934032  0.961390  0.972642
478   1.937255  0.955670  0.981584
479   1.752184  0.786883  0.965301
480   1.841980  0.855464  0.986516
481   1.937124  0.958561  0.978563
482   1.953160  0.972031  0.981129
483   1.644976  0.660664  0.984312
484   1.854362  0.876641  0.977722
485   1.962260  0.976252  0.986008
486   1.978741  0.989283  0.989458
487   1.962828  0.983708  0.979120
488   1.861425  0.896326  0.965099
489   1.934685  0.950145  0.984540
490   1.962608  0.980462  0.982145
491   1.955244  0.962630  0.992614
492   1.276477  0.288872  0.987605
493   1.728290  0.743841  0.984450
494   1.810666  0.832868  0.977798
495   1.779400  0.800863  0.978538
496   1.075148  0.085105  0.990043
497   1.468787  0.490819  0.977968
498   1.885688  0.903128  0.982560
499   1.741769  0.748488  0.993282
500   1.791680  0.813955  0.977726
501   1.972005  0.994337  0.977668
502   1.777150  0.796770  0.980380
503   1.487216  0.509382  0.977834
504   1.945940  0.964096  0.981843
505   1.892893  0.921792  0.971100
506   1.989858  0.995795  0.994062
507   1.964637  0.989447  0.975190
508   1.323750  0.340083  0.983667
509   1.952440  0.961237  0.991204
510   1.836081  0.856234  0.979846
511   1.955294  0.973489  0.981805
512   1.888311  0.923105  0.965206
513   1.951889  0.974932  0.976958
514   1.804323  0.833592  0.970731
515   1.759536  0.772830  0.986706
516   1.902808  0.923974  0.978835
517   1.906579  0.921482  0.985097
518   1.958598  0.976174  0.982425
519   1.959301  0.964477  0.994824
520   1.268944  0.301553  0.967391
521   1.978915  0.991706  0.987209
522   1.681555  0.703819  0.977736
523   1.888333  0.917014  0.971319
524   1.948660  0.961344  0.987316
525   1.968205  0.988386  0.979819
526   1.516990  0.540548  0.976442
527   1.914438  0.955385  0.959052
528   1.913861  0.935324  0.978537
529   1.835692  0.867677  0.968015
530   1.937206  0.957590  0.979616
531   1.962031  0.978748  0.983283
532   1.839712  0.850644  0.989068
533   1.719981  0.743019  0.976962
534   1.980208  0.988232  0.991976
535   1.623779  0.653084  0.970695
536   1.939885  0.966946  0.972938
537   1.750753  0.795362  0.955391
538   1.919117  0.946067  0.973050
539   1.931151  0.939346  0.991804
540   1.928716  0.953157  0.975559
541   1.880858  0.895452  0.985406
542   1.951066  0.977787  0.973279
543   1.812677  0.837367  0.975310
544   1.969756  0.992200  0.977555
545   1.948839  0.973420  0.975419
546   1.805936  0.820729  0.985207
547   1.905643  0.938921  0.966722
548   1.836431  0.856561  0.979870
549   1.900736  0.910389  0.990347
550   1.983178  0.990069  0.993109
551   1.546537  0.580919  0.965618
552   1.851150  0.867393  0.983757
553   1.784586  0.797372  0.987214
554   1.963300  0.987028  0.976271
555   1.947261  0.971579  0.975682
556   1.929576  0.945237  0.984339
557   1.962925  0.983805  0.979120
558   1.943691  0.953053  0.990638
559   1.976640  0.989903  0.986738
560   1.954288  0.966618  0.987670
561   1.628798  0.663074  0.965724
562   1.902825  0.921275  0.981550
563   1.913698  0.935529  0.978169
564   1.532134  0.552928  0.979205
565   1.907724  0.919983  0.987741
566   1.959389  0.970497  0.988891
567   1.932484  0.953002  0.979482
568   1.982242  0.991645  0.990598
569   1.799010  0.826287  0.972723
570   1.672013  0.689808  0.982205
571   1.943949  0.968245  0.975704
572   1.535244  0.564513  0.970731
573   1.958257  0.979757  0.978500
574   1.984234  0.995570  0.988664
575   1.849891  0.891544  0.958347
576   1.925172  0.959912  0.965260
577   1.905139  0.943193  0.961946
578   1.894634  0.900016  0.994618
579   1.903971  0.920772  0.983199
580   1.959055  0.964594  0.994461
581   1.980086  0.996806  0.983281
582   1.955866  0.978744  0.977122
583   1.896906  0.907537  0.989369
584   1.835883  0.851937  0.983945
585   1.942271  0.963734  0.978538
586   1.591175  0.623585  0.967590
587   1.671226  0.698383  0.972843
588   1.904322  0.933737  0.970585
589   1.957247  0.981059  0.976188
590   1.419420  0.434291  0.985130
591   1.853252  0.880800  0.972452
592   1.968136  0.979065  0.989071
593   1.771317  0.795065  0.976251
594   1.884413  0.925740  0.958673
595   1.896999  0.922611  0.974388
596   1.769743  0.779936  0.989807
597   1.754212  0.781171  0.973041
598   1.852563  0.872631  0.979931
599   1.291626  0.309929  0.981697
600   1.856722  0.876222  0.980499
601   1.866633  0.890204  0.976429
602   1.986688  0.996916  0.989772
603   1.912775  0.926227  0.986548
604   1.726645  0.742082  0.984563
605   1.951343  0.979091  0.972252
606   1.981329  0.994170  0.987160
607   1.671431  0.685270  0.986161
608   1.927992  0.953494  0.974498
609   1.909941  0.931702  0.978239
610   1.978771  0.988295  0.990477
611   1.970972  0.983018  0.987954
612   1.713023  0.729267  0.983757
613   1.924106  0.939718  0.984387
614   1.140984  0.187786  0.953197
615   1.953011  0.969654  0.983356
616   1.895124  0.929839  0.965284
617   1.435749  0.464342  0.971407
618   1.947864  0.972579  0.975285
619   1.947068  0.959392  0.987676
620   1.786391  0.801936  0.984455
621   1.824109  0.834921  0.989187
622   1.873166  0.887100  0.986065
623   1.886323  0.911834  0.974489
624   1.661196  0.686566  0.974630
625   1.926534  0.944112  0.982422
626   1.634196  0.650725  0.983470
627   1.781907  0.807127  0.974780
628   1.950581  0.976796  0.973786
629   1.937135  0.955655  0.981481
630   1.770376  0.784684  0.985691
631   1.885019  0.899847  0.985171
632   1.965561  0.984371  0.981190
633   1.956657  0.973980  0.982677
634   1.846967  0.860718  0.986249
635   1.975515  0.992763  0.982752
636   1.938489  0.963232  0.975257
637   1.842295  0.876114  0.966181
638   1.978827  0.991544  0.987284
639   1.967802  0.980586  0.987216
640   1.956376  0.975295  0.981081
641   1.973545  0.980252  0.993293
642   1.646197  0.651419  0.994778
643   1.985931  0.995217  0.990715
644   1.947220  0.968528  0.978692
645   1.991280  0.998132  0.993148
646   1.396208  0.412539  0.983669
647   1.571193  0.598024  0.973169
648   1.947255  0.969660  0.977596
649   1.929542  0.954651  0.974891
650   1.880931  0.920009  0.960923
651   1.959098  0.973604  0.985494
652   1.863137  0.877481  0.985656
653   1.919850  0.931721  0.988130
654   1.950501  0.971396  0.979105
655   1.854268  0.869067  0.985202
656   1.936739  0.968231  0.968508
657   1.841484  0.852146  0.989338
658   1.464968  0.486330  0.978638
659   1.791834  0.806980  0.984854
660   1.925666  0.958262  0.967404
661   1.907029  0.915070  0.991959
662   1.970717  0.980143  0.990574
663   1.808800  0.839764  0.969036
664   1.709143  0.725569  0.983574
665   1.953219  0.962521  0.990698
666   1.650093  0.682937  0.967156
667   1.487128  0.508258  0.978870
668   1.552535  0.590660  0.961875
669   1.833887  0.853495  0.980392
670   1.198881  0.215070  0.983811
671   1.951796  0.975903  0.975893
672   1.846276  0.872752  0.973524
673   1.643461  0.662941  0.980520
674   1.909630  0.940392  0.969237
675   1.917766  0.938547  0.979219
676   1.784508  0.804249  0.980259
677   1.948002  0.972176  0.975826
678   1.914912  0.938994  0.975918
679   1.805968  0.823356  0.982612
680   1.862098  0.885406  0.976692
681   1.757527  0.781900  0.975628
682   1.920680  0.948661  0.972020
683   1.738913  0.764397  0.974516
684   1.874581  0.904847  0.969734
685   1.925440  0.948145  0.977295
686   1.930189  0.938328  0.991861
687   1.924997  0.935403  0.989594
688   1.718483  0.731630  0.986853
689   1.893119  0.919278  0.973841
690   1.959801  0.979674  0.980127
691   1.958190  0.975727  0.982463
692   1.411052  0.447935  0.963116
693   1.676011  0.698761  0.977250
694   1.902822  0.924934  0.977888
695   1.958747  0.972808  0.985939
696   1.950364  0.983610  0.966754
697   1.812298  0.828979  0.983319
698   1.972365  0.983102  0.989263
699   1.972983  0.987092  0.985891
700   1.957374  0.964112  0.993261
701   1.801469  0.823085  0.978384
702   1.942790  0.967848  0.974942
703   1.333875  0.360840  0.973036
704   1.937249  0.959754  0.977495
705   1.925209  0.940981  0.984228
706   1.978275  0.988698  0.989577
707   1.659778  0.690714  0.969064
708   1.709265  0.739387  0.969877
709   1.914222  0.925431  0.988792
710   1.721057  0.744404  0.976652
711   1.916652  0.926623  0.990030
712   1.886859  0.898857  0.988002
713   1.874367  0.895902  0.978465
714   1.960268  0.983595  0.976673
715   1.647879  0.675190  0.972688
716   1.727164  0.751250  0.975914
717   1.490259  0.514299  0.975960
718   1.906145  0.934768  0.971376
719   1.898457  0.913990  0.984467
720   1.895846  0.917098  0.978748
721   1.760647  0.795180  0.965467
722   1.809035  0.828379  0.980656
723   1.486228  0.500056  0.986172
724   1.893501  0.906957  0.986544
725   1.960738  0.974747  0.985991
726   1.476559  0.490631  0.985927
727   1.929515  0.963304  0.966211
728   1.851750  0.879127  0.972623
729   1.828340  0.838468  0.989872
730   1.885101  0.901014  0.984087
731   1.501266  0.529121  0.972145
732   1.913893  0.947797  0.966096
733   1.936909  0.955077  0.981832
734   1.938706  0.948833  0.989873
735   1.896316  0.931023  0.965293
736   1.681609  0.696868  0.984740
737   1.262565  0.287277  0.975288
738   1.976433  0.981449  0.994984
739   1.911878  0.944896  0.966982
740   1.978837  0.990095  0.988741
741   1.951789  0.967702  0.984087
742   1.740549  0.772278  0.968270
743   1.935081  0.950993  0.984087
744   1.911653  0.947878  0.963775
